n,list-addlast-notail.time
0,0
500,1
1000,1
1500,2
2000,4
2500,8
3000,12
3500,16
4000,19
4500,27
5000,33
5500,38
6000,48
6500,51
7000,61
7500,69
8000,82
8500,94
9000,112
9500,118
10000,132
10500,147
11000,162
11500,173
12000,199
12500,215
13000,233
13500,264
14000,282
14500,287
