n,list-addlast-notail.time
0,0
500,1
1000,1
1500,2
2000,5
2500,9
3000,11
3500,15
4000,21
4500,25
5000,30
5500,38
6000,46
6500,56
7000,66
7500,69
8000,81
8500,93
9000,109
9500,116
10000,133
10500,143
11000,160
11500,173
12000,193
12500,206
13000,229
13500,243
14000,286
14500,290
