n,allocates.time
0,1
500,63
1000,60
1500,62
2000,95
2500,102
3000,110
3500,119
4000,131
4500,148
5000,160
5500,190
6000,196
6500,205
7000,220
7500,229
8000,242
8500,253
9000,268
9500,276
